device,vgs,vds,vbs,id,gm,gds,gmb,vth,vdsat,cgg,cgs,cgd,cdb,csb
M2,0.6,0.5,0.3,1.15463E-06,2.16905E-05,2.59745E-07,6.82939E-06,0.641797,0.0598583,1.17489E-15,-9.58354E-16,1.19796E-18,-1.13318E-16,-1.69256E-16
M1,0.6,1.0,-0.3,7.19943E-07,1.44048E-05,4.86727E-07,1.35327E-06,0.754779,0.0488112,5.52128E-16,-4.32965E-16,-3.26458E-20,-1.55015E-17,-2.32284E-17
M2,0.6,1.0,-0.3,5.18023E-08,1.32019E-06,1.13775E-08,2.58905E-07,0.784875,0.0461293,7.38287E-16,-4.71661E-16,1.21978E-18,-3.57728E-17,-5.3621E-17
M1,0.6,1.0,0.0,2.29307E-06,3.91305E-05,2.64707E-06,1.55204E-05,0.694414,0.0536729,5.99171E-16,-5.94002E-16,1.21638E-17,-7.05867E-17,-1.05778E-16
M2,0.6,1.0,0.0,2.40593E-07,5.26995E-06,4.67195E-08,1.26812E-06,0.721333,0.0483351,9.72171E-16,-7.29577E-16,1.59742E-18,-6.67889E-17,-1.00105E-16
M1,0.6,1.0,0.3,1.44269E-05,0.00017538,2.6611E-05,7.80052E-05,0.57276,0.0860079,6.52975E-16,-6.59978E-16,4.56149E-17,-8.76041E-17,-1.31245E-16
M2,0.6,1.0,0.3,1.26663E-06,2.35727E-05,2.0301E-07,7.40515E-06,0.640582,0.0601807,1.17606E-15,-9.59638E-16,1.68752E-18,-1.12905E-16,-1.69199E-16
M1,0.6,1.5,-0.3,9.64916E-07,1.91777E-05,4.93294E-07,1.80117E-06,0.754775,0.0488114,5.52073E-16,-4.32929E-16,-7.24562E-21,-1.54905E-17,-2.32257E-17
M2,0.6,1.5,-0.3,5.74449E-08,1.45739E-06,1.13015E-08,2.84855E-07,0.783297,0.0461719,7.43737E-16,-4.77872E-16,1.24809E-18,-3.61198E-17,-5.41625E-17
M1,0.6,1.5,0.0,3.88255E-06,6.26492E-05,3.75658E-06,3.33064E-05,0.679792,0.0559678,6.07165E-16,-6.59659E-16,1.24008E-17,-9.61324E-17,-1.44142E-16
M2,0.6,1.5,0.0,2.63443E-07,5.73505E-06,4.51927E-08,1.37631E-06,0.719937,0.048466,9.7629E-16,-7.34188E-16,1.63161E-18,-6.70224E-17,-1.00499E-16
M1,0.6,1.5,0.3,3.21434E-05,0.000301036,4.43922E-05,0.000173808,0.518732,0.110084,6.6452E-16,-7.20677E-16,4.59656E-17,-1.16271E-16,-1.7432E-16
M2,0.6,1.5,0.3,1.36386E-06,2.51434E-05,1.88744E-07,7.88087E-06,0.639368,0.0605071,1.17789E-15,-9.61365E-16,1.73664E-18,-1.1287E-16,-1.69238E-16
M1,0.6,2.0,-0.3,1.21467E-06,2.40376E-05,5.11297E-07,2.25752E-06,0.754772,0.0488116,5.52058E-16,-4.32918E-16,-1.30593E-21,-1.5487E-17,-2.32249E-17
M2,0.6,2.0,-0.3,6.32133E-08,1.59647E-06,1.19663E-08,3.10993E-07,0.78172,0.046216,7.49238E-16,-4.8413E-16,1.26804E-18,-3.64756E-17,-5.47036E-17
